,Name,I[A],H[Oe]
127,HP6032A,1.64999999999998,154.6
128,HP6032A,1.6999999999999797,160.5
129,HP6032A,1.7499999999999796,166.7
130,HP6032A,1.7999999999999794,173.0
131,HP6032A,1.8499999999999792,179.2
132,HP6032A,1.899999999999979,185.2
133,HP6032A,1.9499999999999789,191.3
134,HP6032A,1.9999999999999787,197.3
135,HP6032A,2.0499999999999785,203.3
136,HP6032A,2.0999999999999783,209.2
137,HP6032A,2.149999999999978,215.1
138,HP6032A,2.199999999999978,221.1
139,HP6032A,2.249999999999978,227.2
140,HP6032A,2.2999999999999776,233.3
141,HP6032A,2.3499999999999774,239.5
142,HP6032A,2.3999999999999773,245.9
143,HP6032A,2.449999999999977,252.0
144,HP6032A,2.499999999999977,257.9
145,HP6032A,2.5499999999999767,263.8
146,HP6032A,2.5999999999999766,269.7
147,HP6032A,2.6499999999999764,275.7
148,HP6032A,2.699999999999976,281.8
149,HP6032A,2.749999999999976,287.9
150,HP6032A,2.799999999999976,294.1
151,HP6032A,2.8499999999999757,300.2
152,HP6032A,2.8999999999999755,306.2
153,HP6032A,2.9499999999999753,312.2
154,HP6032A,2.999999999999975,318.2
155,HP6032A,3.049999999999975,324.1
156,HP6032A,3.0999999999999748,330.1
157,HP6032A,3.1499999999999746,336.1
158,HP6032A,3.1999999999999744,342.4
159,HP6032A,3.2499999999999742,348.5
160,HP6032A,3.299999999999974,354.5
161,HP6032A,3.349999999999974,360.5
162,HP6032A,3.3999999999999737,366.4
163,HP6032A,3.4499999999999735,372.3
164,HP6032A,3.4999999999999734,378.2
165,HP6032A,3.549999999999973,384.2
166,HP6032A,3.599999999999973,390.3
167,HP6032A,3.649999999999973,396.4
168,HP6032A,3.6999999999999726,402.4
169,HP6032A,3.7499999999999725,408.4
170,HP6032A,3.7999999999999723,414.4
171,HP6032A,3.849999999999972,420.4
172,HP6032A,3.899999999999972,426.4
173,HP6032A,3.9499999999999718,432.5
174,HP6032A,3.9999999999999716,438.8
175,HP6032A,5.0,567.9
176,HP6032A,6.0,688.8
177,HP6032A,7.0,809.4
178,HP6032A,8.0,930.3
179,HP6032A,9.0,1050.7
180,HP6032A,10.0,1167.9
181,HP6032A,11.0,1284.4
182,HP6032A,12.0,1395.7
183,HP6032A,13.0,1510.7
184,HP6032A,14.0,1625.6
185,HP6032A,15.0,1728.0
186,HP6032A,16.0,1836.8
187,HP6032A,17.0,1948.9
188,HP6032A,18.0,2058.0
