,Name,I[A],H[Oe]
133,HP6032A,-1.9500000000000073,-190.1
134,HP6032A,-2.000000000000007,-196.2
135,HP6032A,-2.050000000000007,-202.1
136,HP6032A,-2.1000000000000068,-208.0
137,HP6032A,-2.1500000000000066,-213.9
138,HP6032A,-2.2000000000000064,-219.9
139,HP6032A,-2.250000000000006,-226.0
140,HP6032A,-2.300000000000006,-232.0
141,HP6032A,-2.350000000000006,-238.2
142,HP6032A,-2.4000000000000057,-244.6
143,HP6032A,-2.4500000000000055,-250.7
144,HP6032A,-2.5000000000000053,-256.6
145,HP6032A,-2.550000000000005,-262.5
146,HP6032A,-2.600000000000005,-268.5
147,HP6032A,-2.650000000000005,-274.5
148,HP6032A,-2.7000000000000046,-280.6
149,HP6032A,-2.7500000000000044,-286.6
150,HP6032A,-2.8000000000000043,-292.8
151,HP6032A,-2.850000000000004,-298.9
152,HP6032A,-2.900000000000004,-304.9
153,HP6032A,-2.9500000000000037,-310.9
154,HP6032A,-3.0000000000000036,-316.9
155,HP6032A,-3.0500000000000034,-322.8
156,HP6032A,-3.100000000000003,-328.7
157,HP6032A,-3.150000000000003,-334.8
158,HP6032A,-3.200000000000003,-341.1
159,HP6032A,-3.2500000000000027,-347.2
160,HP6032A,-3.3000000000000025,-353.2
161,HP6032A,-3.3500000000000023,-359.2
162,HP6032A,-3.400000000000002,-365.2
163,HP6032A,-3.450000000000002,-371.2
164,HP6032A,-3.5000000000000018,-377.1
165,HP6032A,-3.5500000000000016,-383.2
166,HP6032A,-3.6000000000000014,-389.4
167,HP6032A,-3.6500000000000012,-395.5
168,HP6032A,-3.700000000000001,-401.5
169,HP6032A,-3.750000000000001,-407.5
170,HP6032A,-3.8000000000000007,-413.5
171,HP6032A,-3.8500000000000005,-419.6
172,HP6032A,-3.9000000000000004,-425.5
173,HP6032A,-3.95,-431.6
174,HP6032A,-4.0,-438.0
175,HP6032A,-5.0,-567.2
176,HP6032A,-6.0,-689.0
177,HP6032A,-7.0,-809.9
178,HP6032A,-8.0,-931.5
179,HP6032A,-9.0,-1054.1
180,HP6032A,-10.0,-1175.7
181,HP6032A,-11.0,-1296.9
182,HP6032A,-12.0,-1414.6
183,HP6032A,-13.0,-1524.4
184,HP6032A,-14.0,-1631.0
185,HP6032A,-15.0,-1739.7
186,HP6032A,-16.0,-1846.6
187,HP6032A,-17.0,-1950.8
188,HP6032A,-18.0,-2055.1
